lineID,Experiment,comparisonType,Familiarity,NAME,Image1,Image2,comparisonImageNumber,Similarity,SimilarityAsymmetry,RawSimilarity_Proto/Ave First,RawSimilarity_ID First,Typicality,Exp3_Similarity,Exp3_SimilarityAsymmetry,Exp3_Similarity_Prototype First,Exp3_Similarity_Exemplar First,"avgSimilarity(Exp1,2,3)",VGG16_Img,VGG16_Conv1,VGG16_Conv2,VGG16_Conv3,VGG16_Conv4,VGG16_Conv5,VGG16_fc6,VGG16_fc7,VGG16_fc8,GIST
1,1,betweenVar,Unfamiliar,Andre van Duin,male_average.jpg,NL_andrevanduin_average.jpg,average,2.636986301,0.479452055,2.397260274,2.876712329,*,2.470479705,0.653136531,2.143911439,2.79704797,2.553733003,0.8917712,0.891650168,0.842367943,0.751309779,0.762114775,0.597887309,0.463184268,0.401369156,0.054224978,0.889248193
2,1,betweenVar,Unfamiliar,Bridget Maasland,female_average.jpg,NL_bridgetmaasland_average.jpg,average,4.133561644,0.376712329,3.945205479,4.321917808,*,3.767527675,1.424354244,3.055350554,4.479704797,3.95054466,0.862656986,0.865011,0.899554331,0.863374634,0.847920703,0.691251169,0.387845274,0.266273565,0.003360673,0.91444963
3,1,betweenVar,Unfamiliar,Caroline Tensen,female_average.jpg,NL_carolinetensen_average.jpg,average,3.078767123,0.47260274,2.842465753,3.315068493,*,3.367158672,1.110701107,2.811808118,3.922509225,3.222962897,0.735458563,0.745519067,0.66819457,0.599887642,0.675455881,0.551997698,0.198776373,0.095470566,0.000267304,0.889781705
4,1,betweenVar,Unfamiliar,Chantal Janzen,female_average.jpg,NL_chantaljanzen_average.jpg,average,3.989726027,0.582191781,3.698630137,4.280821918,*,2.70295203,0.793357934,2.306273063,3.099630996,3.346339028,0.643627026,0.655967787,0.523185495,0.34866326,0.500331671,0.640713762,0.390566399,0.230965574,0.003739745,0.800390288
5,1,betweenVar,Unfamiliar,Danny de Munk,male_average.jpg,NL_dannydemunk_average.jpg,average,4.876712329,0.493150685,4.630136986,5.123287671,*,4.035055351,0.881918819,3.594095941,4.47601476,4.45588384,0.9550228,0.945223694,0.976509851,0.996068224,0.937775335,0.790879083,0.340671093,0.21610632,0.42300661,1
6,1,betweenVar,Unfamiliar,Frans Bauer,male_average.jpg,NL_fransbauer_average.jpg,average,4.065068493,0.869863014,3.630136986,4.5,*,3.422509225,1.450184502,2.697416974,4.147601476,3.743788859,0.883792263,0.873342769,0.871739974,0.830470391,0.843871399,0.760885303,0.47757883,0.363525286,0.009490242,0.942579062
7,1,betweenVar,Unfamiliar,Froukje de Both,female_average.jpg,NL_froukjedeboth_average.jpg,average,4.616438356,0.273972603,4.479452055,4.753424658,*,4.804428044,1.04797048,4.280442804,5.328413284,4.7104332,0.841731641,0.839192648,0.806849731,0.727705136,0.783721431,0.745789037,0.401269972,0.296741756,0.050904157,0.896527109
8,1,betweenVar,Unfamiliar,Gerard Joling,male_average.jpg,NL_gerardjoling_average.jpg,average,3.558219178,0.636986301,3.239726027,3.876712329,*,3.171586716,1.125461255,2.608856089,3.734317343,3.364902947,0.762001116,0.762728549,0.756939159,0.796277799,0.789857768,0.643342222,0.412644674,0.338918293,0.028049277,0.776267611
9,1,betweenVar,Unfamiliar,Gordon,male_average.jpg,NL_gordon_average.jpg,average,2.678082192,0.575342466,2.390410959,2.965753425,*,2.075645756,0.63099631,1.760147601,2.391143911,2.376863974,0.812392381,0.806764904,0.785790863,0.702382266,0.728756049,0.582071445,0.267659353,0.186155925,0.04225912,0.771099814
10,1,betweenVar,Unfamiliar,Henkjan Smit,male_average.jpg,NL_henkjansmit_average.jpg,average,3.02739726,0.506849315,2.773972603,3.280821918,*,2.566420664,1.036900369,2.04797048,3.084870849,2.796908962,0.76787787,0.770457486,0.72645188,0.680906993,0.723936217,0.675908314,0.434638575,0.365276316,0.023372332,0.846406257
11,1,betweenVar,Unfamiliar,Irene Moors,female_average.jpg,NL_irenemoors_average.jpg,average,4.054794521,0.616438356,3.746575342,4.363013699,*,3.643911439,0.963099631,3.162361624,4.125461255,3.84935298,0.933687739,0.936436164,0.936882277,0.933599952,0.901179853,0.72610457,0.43080808,0.289915436,0.001023203,0.973586463
12,1,betweenVar,Unfamiliar,Jamai,male_average.jpg,NL_jamai_average.jpg,average,4.503424658,0.390410959,4.308219178,4.698630137,*,4.422509225,0.859778598,3.992619926,4.852398524,4.462966941,0.944775202,0.930054062,0.961341465,0.9950822,1,0.851825331,0.586832281,0.540634301,0.114516604,0.988994759
13,1,betweenVar,Unfamiliar,Jantje Smit,male_average.jpg,NL_jantjesmit_average.jpg,average,4.434931507,0.678082192,4.095890411,4.773972603,*,4.184501845,1.188191882,3.590405904,4.778597786,4.309716676,0.865432911,0.853928802,0.879957871,0.922999427,0.934766839,0.756731293,0.397619027,0.248515805,0.025331716,0.951105243
14,1,betweenVar,Unfamiliar,Jim Bakkum,male_average.jpg,NL_jimbakkum_average.jpg,average,4.904109589,0.342465753,4.732876712,5.075342466,*,3.876383764,0.601476015,3.575645756,4.177121771,4.390246676,0.935366561,0.926993763,0.955025095,0.973850097,0.927126052,0.682648621,0.364710447,0.19173909,0.057526602,0.968365209
15,1,betweenVar,Unfamiliar,Karin Bloemen,female_average.jpg,NL_karinbloemen_average.jpg,average,3.219178082,0.712328767,2.863013699,3.575342466,*,2.664206642,0.841328413,2.243542435,3.084870849,2.941692362,0.650847131,0.662182238,0.55117153,0.400244786,0.535277084,0.617848568,0.44619197,0.394534222,0.009446207,0.84366982
16,1,betweenVar,Unfamiliar,Katja,female_average.jpg,NL_katja_average.jpg,average,4.414383562,0.280821918,4.273972603,4.554794521,*,4.02398524,1.302583026,3.372693727,4.675276753,4.219184401,0.945349015,0.94830667,0.954023142,0.989799582,0.960652363,0.885698964,0.619193806,0.617324447,0.426628599,0.920383085
17,1,betweenVar,Unfamiliar,Marco Borsato,male_average.jpg,NL_marcoborsato_average.jpg,average,3.619863014,0.51369863,3.363013699,3.876712329,*,3.319188192,0.94095941,2.848708487,3.789667897,3.469525603,0.896663934,0.88819401,0.899964507,0.879460654,0.875164253,0.735815401,0.472649338,0.393697049,0.083617955,0.923016219
18,1,betweenVar,Unfamiliar,Patty Brard,female_average.jpg,NL_pattybrard_average.jpg,average,4.410958904,0.410958904,4.205479452,4.616438356,*,4.629151292,1.051660517,4.103321033,5.15498155,4.520055098,0.857413736,0.862859209,0.810869284,0.742342661,0.827957699,0.834941015,0.549564329,0.467408721,0.039213042,0.977313365
19,1,betweenVar,Unfamiliar,Tatjana Simic,female_average.jpg,NL_tatjanasimic_average.jpg,average,4.602739726,0.191780822,4.506849315,4.698630137,*,3.536900369,1.228782288,2.922509225,4.151291513,4.069820048,0.915929421,0.909176075,0.898617213,0.882179533,0.933457955,0.722755295,0.396297008,0.30071981,0.001922139,0.954852868
20,1,betweenVar,Unfamiliar,Wendy van Dijk,female_average.jpg,NL_wendyvandijk_average.jpg,average,4.493150685,0.04109589,4.47260274,4.51369863,*,5.068265683,-0.660516605,5.398523985,4.73800738,4.780708184,0.803315081,0.808963491,0.722765429,0.562535385,0.686223806,0.78618649,0.666916928,0.613797037,0.276917241,0.958408217
21,1,betweenVar,Familiar,Al Pacino,male_average.jpg,US_al_pacino_average.jpg,average,3.071917808,0.198630137,2.97260274,3.171232877,*,2.721402214,0.955719557,2.243542435,3.199261993,2.896660011,0.874659052,0.874492331,0.807917344,0.73984103,0.800743935,0.782695119,0.474966602,0.361075906,0.13403421,0.920976497
