Unfamiliar_Similarity,Familiar_Similarity,Unfamiliar_Similarity_Exemplar First,Unfamiliar_Similarity_Prototype First,Familiar_Similarity_Exemplar First,Familiar_Similarity_Prototype First,Unfamiliar_symmetry,Familiar_asymmetry
3.25,3.325,3.8,2.7,4.4,2.25,1.1,2.15
3.575,3.35,3.15,4,3.4,3.3,-0.85,0.1
3.6,4.1,3.55,3.65,3.7,4.5,-0.1,-0.8
3.325,3.325,4.25,2.4,4.2,2.45,1.85,1.75
4.95,4.1,4.8,5.1,4.45,3.75,-0.3,0.7
1.825,3.65,2.2,1.45,4.2,3.1,0.75,1.1
2.775,3.45,2.75,2.8,3.4,3.5,-0.05,-0.1
4.65,2.6,5.2,4.1,2.7,2.5,1.1,0.2
2.525,4.425,2.9,2.15,4.75,4.1,0.75,0.65
3.1,4.125,3.95,2.25,4.65,3.6,1.7,1.05
3.65,1.7,3.85,3.45,1.75,1.65,0.4,0.1
4.6,3.9,5,4.2,4.8,3,0.8,1.8
4.775,5.8,5.1,4.45,6.3,5.3,0.65,1
4.575,2.9,4.9,4.25,3.2,2.6,0.65,0.6
5.075,4.55,5.7,4.45,4.75,4.35,1.25,0.4
4.1,4.525,3.9,4.3,4.55,4.5,-0.4,0.05
2.05,2.425,2.6,1.5,3.1,1.75,1.1,1.35
3.1,2.55,3.2,3,2.55,2.55,0.2,0
4.45,6.375,4.7,4.2,6.5,6.25,0.5,0.25
4.575,5.125,5.45,3.7,4.85,5.4,1.75,-0.55
4.025,2.925,4.25,3.8,2.8,3.05,0.45,-0.25
2.225,1.5,2.75,1.7,1.55,1.45,1.05,0.1
5.175,5.125,5.6,4.75,5.75,4.5,0.85,1.25
4.875,5.3,4.4,5.35,5.2,5.4,-0.95,-0.2
3.6,1.35,4.05,3.15,1.45,1.25,0.9,0.2
5,5.375,4.35,5.65,5.2,5.55,-1.3,-0.35
1.625,3.2,1.55,1.7,3.3,3.1,-0.15,0.2
2.325,2.05,2.5,2.15,2,2.1,0.35,-0.1
2.6,1.475,2.85,2.35,1.65,1.3,0.5,0.35
3.475,2.825,3.35,3.6,3.1,2.55,-0.25,0.55
2.125,2.95,2.3,1.95,3.45,2.45,0.35,1
4.35,4.575,4.6,4.1,4.75,4.4,0.5,0.35
4.7,4.7,4.6,4.8,4.6,4.8,-0.2,-0.2
1.2,1.375,1.35,1.05,1.55,1.2,0.3,0.35
3.15,5.075,3.65,2.65,6.1,4.05,1,2.05
4.125,4.075,4.4,3.85,4.55,3.6,0.55,0.95
5.3,4.425,5.05,5.55,4.55,4.3,-0.5,0.25
6.45,4.5,7,5.9,5,4,1.1,1
5.425,4.75,5.4,5.45,5.05,4.45,-0.05,0.6
5.275,4.05,5.1,5.45,4.25,3.85,-0.35,0.4
3.5,5.75,3.45,3.55,5.9,5.6,-0.1,0.3
5.525,5,5.6,5.45,5.2,4.8,0.15,0.4
4.125,4.425,4.5,3.75,4.65,4.2,0.75,0.45
3.075,3.15,3.3,2.85,3.35,2.95,0.45,0.4
5.85,5.8,6.1,5.6,6.15,5.45,0.5,0.7
2.975,3.875,3.1,2.85,4.5,3.25,0.25,1.25
3.625,1.975,3.8,3.45,2.2,1.75,0.35,0.45
3.8,3.525,4.05,3.55,3.85,3.2,0.5,0.65
2.875,2.875,3.1,2.65,2.9,2.85,0.45,0.05
5.075,4.875,5.25,4.9,5.1,4.65,0.35,0.45
3.8,2.3,3.95,3.65,2.45,2.15,0.3,0.3
4.325,6.225,4.65,4,6.5,5.95,0.65,0.55
4.2,6.725,4.25,4.15,7.15,6.3,0.1,0.85
4.45,5.525,4.4,4.5,6,5.05,-0.1,0.95
2.675,2.7,2.4,2.95,2.55,2.85,-0.55,-0.3
5.775,4.925,5.35,6.2,6,3.85,-0.85,2.15
1.05,1.025,1.1,1,1,1.05,0.1,-0.05
4.4,4.8,4.25,4.55,4.85,4.75,-0.3,0.1
3.8,5.125,4,3.6,5.2,5.05,0.4,0.15
6.55,5.65,6.55,6.55,6.05,5.25,0,0.8
4.875,5.675,5.1,4.65,5.9,5.45,0.45,0.45
4.1,4.45,4.4,3.8,4.2,4.7,0.6,-0.5
1.55,3.1,1.8,1.3,4.55,1.65,0.5,2.9
3.45,2.7,4.15,2.75,3.05,2.35,1.4,0.7
3.2,3.675,3,3.4,3.8,3.55,-0.4,0.25
4.55,3.85,4.2,4.9,4,3.7,-0.7,0.3
4.15,4.575,5.05,3.25,5.55,3.6,1.8,1.95
4.4,3.25,4.9,3.9,3.95,2.55,1,1.4
1.8,2.25,1.75,1.85,2.2,2.3,-0.1,-0.1
4.775,4.725,5,4.55,5.65,3.8,0.45,1.85
5.95,7.4,5.9,6,7.3,7.5,-0.1,-0.2
5.125,5.9,5.8,4.45,6.2,5.6,1.35,0.6
