Condition (Face var),Group,Unfamiliar,Familiar,UNSWFT,GFMT,CFMT+,Models Test,Fingerprint matching,PI-20
within,SR,6.25,8.75,72.5,100,89.21568627,91.11111111,78.33333333,25
within,SR,5.975,8.975,75.83333333,100,99.01960784,96.66666667,75,26
within,SR,6.35,8.875,75,100,95.09803922,87.77777778,83.33333333,28
within,SR,7.325,8.675,80,100,100,93.33333333,80,28
within,SR,7.3,8.475,76.66666667,100,92.15686275,*,88.33333333,27
within,SR,7.375,8.95,70,100,97.05882353,94.44444444,88.33333333,24
within,SR,6.725,8.85,81.66666667,100,90.19607843,*,*,42
within,SR,7.05,8.925,70.83333333,100,91.17647059,86.66666667,76.66666667,34
within,SR,7.45,8.825,84.16666667,100,93.1372549,96.66666667,85,22
within,SR,6.55,8.9,69.16666667,100,91.17647059,86.66666667,65,30
within,SR,4.725,7.725,74.16666667,100,89.21568627,92.22222222,81.66666667,29
within,SR,6.85,8.65,75,100,99.01960784,95.55555556,68.33333333,48
within,SR,6.25,8.425,72.5,100,94.11764706,85.55555556,73.33333333,26
within,SR,7.95,9,77.5,100,91.17647059,91.11111111,83.33333333,20
within,SR,7.75,8.85,79.16666667,100,92.15686275,82.22222222,63.33333333,24
within,SR,6.1,8.475,73.33333333,100,99.01960784,93.33333333,81.66666667,36
within,SR,5.275,7.225,76.66666667,100,89.21568627,92.22222222,80,34
within,SR,7.8,9,73.33333333,100,92.15686275,95.55555556,86.66666667,29
within,SR,7.3,8.8,74.16666667,100,90.19607843,78.88888889,85,34
within,CONTROL,5.55,6.075,*,*,*,*,*,*
within,CONTROL,6.75,8.6,*,*,*,*,*,*
within,CONTROL,5.875,6.95,*,*,*,*,*,*
within,CONTROL,4.8,6.625,*,*,*,*,*,*
within,CONTROL,4.925,6.05,*,*,*,*,*,*
within,CONTROL,4.075,6.175,*,*,*,*,*,*
within,CONTROL,3.975,5.475,*,*,*,*,*,*
within,CONTROL,5.25,7.15,*,*,*,*,*,*
within,CONTROL,3.425,4.75,*,*,*,*,*,*
within,CONTROL,5.4,5.95,*,*,*,*,*,*
within,CONTROL,3.525,5.875,*,*,*,*,*,*
within,CONTROL,6.225,8.35,*,*,*,*,*,*
within,CONTROL,5.125,8.1,*,*,*,*,*,*
within,CONTROL,6.8,8.325,*,*,*,*,*,*
within,CONTROL,3.95,6.8,*,*,*,*,*,*
within,CONTROL,5.725,6.675,*,*,*,*,*,*
within,CONTROL,4.95,5.2,*,*,*,*,*,*
within,CONTROL,5.05,7,*,*,*,*,*,*
within,CONTROL,3.75,6,*,*,*,*,*,*
within,CONTROL,4.125,4.35,*,*,*,*,*,*
within,CONTROL,4.8,5.625,*,*,*,*,*,*
within,CONTROL,5.65,6.725,*,*,*,*,*,*
within,CONTROL,4.15,5.85,*,*,*,*,*,*
within,CONTROL,5.125,6.25,*,*,*,*,*,*
within,CONTROL,8.4,8.4,*,*,*,*,*,*
within,CONTROL,5.325,5.525,*,*,*,*,*,*
within,CONTROL,5.775,6.225,*,*,*,*,*,*
within,CONTROL,5.825,7.45,*,*,*,*,*,*
within,CONTROL,4.675,5.425,*,*,*,*,*,*
within,CONTROL,6.2,7.6,*,*,*,*,*,*
within,CONTROL,5.95,7.55,*,*,*,*,*,*
between,SR,1.948717949,1.75,75.83333333,100,96.07843137,95.55555556,80,44
between,SR,1.743589744,1.1,86.66666667,100,98.03921569,77.77777778,81.66666667,27
between,SR,1.923076923,2.975,70.83333333,100,95.09803922,95.55555556,91.66666667,31
between,SR,1.179487179,1.175,75,100,99.01960784,95.55555556,68.33333333,48
between,SR,2.307692308,1.325,80.83333333,100,92.15686275,94.44444444,91.66666667,32
between,SR,2.307692308,1.65,82.5,100,92.15686275,95.55555556,76.66666667,35
between,SR,1.179487179,1.175,71.66666667,100,92.15686275,86.66666667,61.66666667,28
between,SR,3.282051282,1.575,80.83333333,100,99.01960784,92.22222222,78.33333333,24
between,SR,1.102564103,1.075,74.16666667,100,95.09803922,85.55555556,86.66666667,26
between,SR,1.538461538,1.15,79.16666667,100,92.15686275,90,95,32
between,SR,3,1.85,74.16666667,100,95.09803922,87.77777778,86.66666667,28
between,SR,5.435897436,4.45,76.66666667,100,91.17647059,94.44444444,65,35
between,SR,1.051282051,1,86.66666667,100,99.01960784,*,*,22
between,SR,1.051282051,1.1,74.16666667,100,96.07843137,90,81.66666667,24
between,SR,2.692307692,2.625,70,100,89.21568627,94.44444444,78.33333333,35
between,SR,2.256410256,1.65,76.66666667,100,92.15686275,*,*,*
between,SR,3.03125,3,81.66666667,100,90.19607843,*,*,42
between,SR,1.051282051,1.05,72.5,100,98.03921569,93.33333333,100,27
between,SR,1.974358974,1.25,74.16666667,100,90.19607843,*,*,*
between,SR,2.051282051,2.15,74.16666667,100,89.21568627,92.22222222,81.66666667,29
between,SR,1.051282051,1.05,75,100,96.07843137,92.22222222,85,24
between,SR,1.923076923,2.975,73.33333333,100,99.01960784,95.55555556,91.66666667,42
between,SR,2,1.9,70.83333333,100,92.15686275,*,*,*
between,CONTROL,4.769230769,4.825,*,*,*,*,*,*
between,CONTROL,5.256410256,4.7,*,*,*,*,*,*
between,CONTROL,2.846153846,2.725,*,*,*,*,*,*
between,CONTROL,3.358974359,2.2,*,*,*,*,*,*
between,CONTROL,1.820512821,1.1,*,*,*,*,*,*
between,CONTROL,1.615384615,1.8,*,*,*,*,*,*
between,CONTROL,3.179487179,3.675,*,*,*,*,*,*
between,CONTROL,2.076923077,1.85,*,*,*,*,*,*
between,CONTROL,2.076923077,1.85,*,*,*,*,*,*
between,CONTROL,2.794871795,2.65,*,*,*,*,*,*
between,CONTROL,2.615384615,2.75,*,*,*,*,*,*
between,CONTROL,1.769230769,1.925,*,*,*,*,*,*
between,CONTROL,2.538461538,2.425,*,*,*,*,*,*
between,CONTROL,3.487179487,2.775,*,*,*,*,*,*
between,CONTROL,4.538461538,3.1,*,*,*,*,*,*
between,CONTROL,1.487179487,1.275,*,*,*,*,*,*
between,CONTROL,2.153846154,2.175,*,*,*,*,*,*
between,CONTROL,3.666666667,4.35,*,*,*,*,*,*
between,CONTROL,2.974358974,3.325,*,*,*,*,*,*
between,CONTROL,3.923076923,4.9,*,*,*,*,*,*
between,CONTROL,2.076923077,2.7,*,*,*,*,*,*
between,CONTROL,1.435897436,1.45,*,*,*,*,*,*
between,CONTROL,1.58974359,1.95,*,*,*,*,*,*
between,CONTROL,1.487179487,2.275,*,*,*,*,*,*
between,CONTROL,2.769230769,1.825,*,*,*,*,*,*
between,CONTROL,2.512820513,2.175,*,*,*,*,*,*
between,CONTROL,1.641025641,1.6,*,*,*,*,*,*
between,CONTROL,3.820512821,2.825,*,*,*,*,*,*
between,CONTROL,2.230769231,3.675,*,*,*,*,*,*
between,CONTROL,2.846153846,3.2,*,*,*,*,*,*
between,CONTROL,2.743589744,2.775,*,*,*,*,*,*
between,CONTROL,2.461538462,2.225,*,*,*,*,*,*
between,CONTROL,4,3.625,*,*,*,*,*,*
between,CONTROL,2.358974359,2.275,*,*,*,*,*,*
between,CONTROL,2.128205128,1.575,*,*,*,*,*,*
between,CONTROL,1.846153846,2.325,*,*,*,*,*,*
between,CONTROL,1.871794872,1.675,*,*,*,*,*,*
between,CONTROL,2.512820513,2.6,*,*,*,*,*,*
between,CONTROL,4.282051282,3.6,*,*,*,*,*,*
between,CONTROL,1.897435897,1.35,*,*,*,*,*,*
between,CONTROL,4.461538462,3.25,*,*,*,*,*,*
between,CONTROL,2.230769231,1.7,*,*,*,*,*,*
between,CONTROL,2.538461538,2.425,*,*,*,*,*,*
between,CONTROL,1.666666667,1.175,*,*,*,*,*,*
between,CONTROL,1.974358974,2.975,*,*,*,*,*,*
